Date,Close,Volume,OC_Change,Daily_Return,RSI_14,MACD_Histogram,ROC_5,ROC_21,Dist_SMA_20,Dist_SMA_50,Dist_SMA_200,BB_Width,TR,Volume_MA_10,Volume_Change_Ratio,CMF_20,OBV,OBV_Slope_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Kyle_Lambda_Proxy,Kyle_Lambda_20,Target,ATR_Pct
2017-05-16,470.9176635742188,1308863,2.218113669446325,0.9614381183352672,54.4142263781731,-0.5425492057616994,4.527457354052178,0.8571830815427228,1.1889654090381192,4.006916813857862,21.71464559577044,7.0969262655958,9.836915906293656,1672166.4,0.7827349000673618,0.0689835878197581,18731000.0,-459527.6,-2.292926567945808,-1.227180969255126,3.886817223772821,-3.590962534981168,7.345597807679392e-07,1.1706014312114576e-06,0,2.9667934236072906
2017-05-17,464.600830078125,859054,-7.956319352661183,-1.341388099174201,51.024709904099744,-1.0128361795238543,-0.1347429621056828,0.1038910485368527,-0.2773809719033061,2.3880258901082416,19.97424700922705,6.739492927789923,12.3443676846814,1606992.6,0.5345724678508165,0.0807105132635251,17871946.0,-394353.8,0.9614381183352672,-2.292926567945808,-1.227180969255126,3.2644801000253576,1.5614712220351703e-06,1.1353158984961051e-06,0,2.9821202060992844
2017-05-18,454.8603515625,811219,-7.088362988435449,-2.096526283430677,46.24146695845139,-1.929123795726226,-5.886465396780094,0.0955096496175311,-2.362028524828439,0.1061193651327884,17.37287206967052,6.775557963018505,12.103266860433903,1581017.2,0.513099414731225,0.0554030832023442,17060727.0,-582573.0,-1.341388099174201,0.9614381183352672,-2.292926567945808,3.886817223772821,2.5844146690729354e-06,1.249419767243297e-06,0,3.0184725018064027
2017-05-19,454.378173828125,1022479,-3.712955035985658,-0.1060056636544959,46.01152403077848,-2.481682673074362,-4.818177866310036,-0.2329228599236454,-2.381160375321552,-0.1403089362394723,17.165133422351406,7.1085399086747545,18.468299624802853,1548421.9,0.6603361784020234,0.0366338877660992,16038248.0,-549977.7,-2.096526283430677,-1.341388099174201,0.9614381183352672,-1.227180969255126,1.0367514995857709e-07,1.181847919085861e-06,1,3.096164655115269
2017-05-22,464.2632446289063,1725108,7.136570876971575,2.175516204376571,51.35234122585358,-2.110027535558848,-0.4652225455724079,0.3962400421938072,-0.2781076708851154,1.8514693048063111,19.6104199881766,7.083717449751563,12.151422010479225,1657372.8,1.040869018726505,0.0821287779901211,17763356.0,-313907.0,-0.1060056636544959,-2.096526283430677,-1.341388099174201,-2.292926567945808,1.2610898589401769e-06,1.2433814534262532e-06,0,3.000749462555108
2017-05-23,461.3218688964844,1651642,-0.2893089318128545,-0.6335577426063499,49.77448008131024,-1.9923204082302548,-2.0376799215606423,-0.219026326262095,-0.8688334899115916,1.046268730500883,18.776257695160623,7.13329732286432,12.199683811841396,1634234.8,1.010651590579273,0.0591810089569472,16111714.0,-290769.0,2.175516204376571,-0.1060056636544959,-2.096526283430677,0.9614381183352672,3.835926566449327e-07,1.2255694186937788e-06,0,2.993069566263136
2017-05-24,452.4976196289063,1477366,-4.870220366629269,-1.912818329789212,45.27955338483168,-2.410843720345769,-2.605077233112896,-2.726228253872054,-2.6192269599949656,-0.9992831926131046,16.435185603722232,7.554535733947741,18.17899119761222,1608814.3,0.9182949206754316,0.0199748218991766,14634348.0,-611662.7,-0.6335577426063499,2.175516204376571,-0.1060056636544959,-1.341388099174201,1.2947491209282009e-06,1.2828841318116676e-06,0,3.120440869401224
2017-05-25,447.3862609863281,974154,-6.943708951801398,-1.1295879626438632,42.864867531801984,-2.9010833935966183,-1.6431615880560857,-4.0835292506590015,-3.560103672431509,-2.1943526560631104,15.060557391568077,8.266701727949439,10.463771774512791,1511051.0,0.6446863805391082,0.0197393242011044,13660194.0,-904256.8,-1.912818329789212,-0.6335577426063499,2.175516204376571,-2.096526283430677,1.1595578960245127e-06,1.3084251496793824e-06,1,3.097718542782672
2017-05-26,456.5963134765625,1594613,8.342104038675416,2.0586355222284918,48.22291474139584,-2.490003161924525,0.4881703779364477,-1.3234566311859486,-1.5251132089479134,-0.2282202205042274,17.35646543474287,8.377610837979303,14.51427331539611,1532185.5,1.040744087448941,0.0636723900742227,15254807.0,-606468.7,-1.1295879626438632,-1.912818329789212,-0.6335577426063499,-0.1060056636544959,1.2909938161977178e-06,1.3571277254678906e-06,0,3.045488678277536
2017-05-29,453.8959655761719,2314193,-1.10905682953495,-0.5914081696871243,46.83607558948031,-2.2899612875180244,-2.2330604829639555,-1.599422719764243,-2.1115739048563147,-0.8542151908641314,16.581640676958365,8.35925303936396,24.25471350667937,1373869.1,1.6844348562756086,0.009628089024555,12940614.0,-448152.3,2.0586355222284918,-1.1295879626438632,-1.912818329789212,2.175516204376571,2.555569780425074e-07,1.2463922154939043e-06,0,3.226468909127296
2017-05-30,453.07623291015625,1496350,-0.1928922512822168,-0.1805992403953293,46.39983479453925,-2.107444936779597,-1.7873932588655106,-0.0956891306433838,-2.1326443823295733,-1.049947334417412,16.282380169467288,8.56861730373139,8.245628695872199,1392617.8,1.0744871995747864,0.0132722860300607,11444264.0,-728673.6,-0.5914081696871243,2.0586355222284918,-1.1295879626438632,-0.6335577426063499,1.2069318033570314e-07,1.118823616749441e-06,1,3.131421743601523
