Date,Close,High,Low,Open,Volume,Daily_Range,OC_Change
2016-07-22,395.11566162109375,397.4784297620394,391.2580521522277,395.40497055876887,562267,6.220377609811692,-0.28930893767511634
2016-07-25,398.0570983886719,401.67360745943506,394.44058931790863,396.36939415564905,704244,7.233018141526429,1.6877042330228278
2016-07-26,399.2626037597656,404.42216261730255,396.56228874354275,399.74480497203587,675183,7.8598738737597955,-0.4822012122702404
2016-07-27,397.04443359375,401.57710668692323,392.70462329937135,399.5518559966355,529343,8.872483387551881,-2.5074224028854815
2016-07-28,411.4140625,417.10403067381395,395.93538659313845,397.0444728786385,1930303,21.168644080675506,14.369589621361513
2016-07-29,406.3992004394531,412.28206147184676,404.5668416080461,409.9675013989522,524658,7.715219863800655,-3.5683009594990835
2016-08-01,407.2671203613281,410.83542100167324,401.6735982328566,408.03865993743744,527565,9.161822768816648,-0.7715395761093191
2016-08-02,408.3761901855469,413.72861149888183,406.64024828276104,407.8939890066437,737731,7.088363216120797,0.4822011789031535
2016-08-03,399.9858703613281,411.7997990217893,381.22823308304515,409.58168541313097,3494599,30.57156593874413,-9.595815051802845
2016-08-04,393.6690368652344,396.9962071941781,383.92856759477434,395.4049492602291,1763216,13.067639599403776,-1.7359123949947275
2016-08-05,401.6253662109375,403.26483252998054,390.10074647701333,395.40495934629286,1055018,13.164086052967207,6.220406864644644
2016-08-08,404.7596435546875,407.1706492241073,400.22694112368964,405.04895246252926,616890,6.943708100417666,-0.28930890784175745
2016-08-09,405.14544677734375,406.7367048222349,390.58296491524635,390.58296491524635,813302,16.153739906988562,14.5624818620974
2016-08-10,389.57037353515625,405.14546689997434,388.02732376026074,405.14546689997434,915542,17.118143139713595,-15.575093364818088
2016-08-11,386.0985107421875,391.49917012460674,384.26615204937366,390.39008380809025,1784058,7.233018075233076,-4.291573065902753
2016-08-12,387.6415710449219,393.28330175231946,385.3752194333619,386.9182692176938,1055193,7.908082318957554,0.723301827228056
2016-08-16,390.1489562988281,393.3797100358674,378.5279198318927,387.83439656062313,985377,14.851790203974701,2.3145597382049914
2016-08-17,390.24542236328125,395.30853492552023,386.82180564130505,390.4383146143329,902574,8.486729284215187,-0.19289225105165997
2016-08-18,383.97674560546875,393.28322132639533,382.9641350269177,390.58290682944545,745822,10.319086299477647,-6.606161223976699
2016-08-19,387.68975830078125,388.99170740520054,380.11919370144886,385.7609535331157,1115131,8.872513703751679,1.9288047676655538
2016-08-22,388.60595703125,392.0295737627147,384.94121026968986,388.17196418079374,618307,7.088363493024815,0.43399285045626357
