Date,Close,High,Low,Open,Volume,Daily_Range,OC_Change
2016-07-22,395.11566162109375,397.4784297620394,391.2580521522277,395.40497055876887,562267,6.220377609811692,-0.28930893767511634
2016-07-25,398.05706787109375,401.6735766645925,394.440559077595,396.369363767461,704244,7.233017586997448,1.6877041036327682
2016-07-26,399.2625732421875,404.4221317053543,396.5622584323628,399.74477441760075,675183,7.859873272991479,-0.4822011754132518
2016-07-27,397.0444030761719,401.5770758209554,392.7045931153592,399.5518252863322,529343,8.872482705596155,-2.507422210160314
2016-07-28,411.4140930175781,417.1040616134585,395.93541596255045,397.04450233031946,1930303,21.168645650908047,14.369590687258665
2016-07-29,406.3991394042969,412.2819995531717,404.5667808480831,409.96743982788985,524658,7.715218705088603,-3.568300423592973
2016-08-01,407.26708984375,410.8353902167131,401.6735681344155,408.03862936204587,527565,9.16182208229759,-0.7715395182958673
2016-08-02,408.3761901855469,413.72861149888183,406.64024828276104,407.8939890066437,737731,7.088363216120797,0.4822011789031535
2016-08-03,399.9858703613281,411.7997990217893,381.22823308304515,409.58168541313097,3494599,30.57156593874413,-9.595815051802845
2016-08-04,393.6690368652344,396.9962071941781,383.92856759477434,395.4049492602291,1763216,13.067639599403776,-1.7359123949947275
2016-08-05,401.6253967285156,403.26486317213386,390.10077611889113,395.40498939121227,1055018,13.164087053242724,6.220407337303357
2016-08-08,404.7597351074219,407.170741322188,400.22703165117036,405.0490440807025,616890,6.943709671017643,-0.2893089732806402
2016-08-09,405.1454162597656,406.73667418479533,390.5829354945871,390.5829354945871,813302,16.15373869020823,14.56248076517852
2016-08-10,389.5703430175781,405.14543516229793,388.0272933635597,405.14543516229793,915542,17.118141798738236,-15.575092144719804
2016-08-11,386.0985412597656,391.4992010690579,384.26618242212044,390.39011466487824,1784058,7.233018646937467,-4.291573405112615
2016-08-12,387.64154052734375,393.2832707905889,385.3751890942052,386.91823875705853,1055193,7.908081696383704,0.723301770285218
2016-08-16,390.1489562988281,393.3797100358674,378.5279198318927,387.83439656062313,985377,14.851790203974701,2.3145597382049914
2016-08-17,390.2453918457031,395.3085040120017,386.82177539145715,390.4382840816704,902574,8.486728620544568,-0.19289223596729244
2016-08-18,383.9767761230469,393.2832525836305,382.96416546401593,390.58293787206594,745822,10.31908711961455,-6.606161749019066
2016-08-19,387.68975830078125,388.99170740520054,380.11919370144886,385.7609535331157,1115131,8.872513703751679,1.9288047676655538
