Date,Close,Volume,OC_Change,Daily_Return,RSI_14,MACD_Histogram,ROC_5,ROC_21,Dist_SMA_20,Dist_SMA_50,Dist_SMA_200,BB_Width,TR,Volume_MA_10,Volume_Change_Ratio,CMF_20,OBV,OBV_Slope_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Kyle_Lambda_Proxy,Kyle_Lambda_20,Target,ATR_Pct
2017-05-16,470.9176940917969,1308863,2.2181138131900866,0.9614446610895832,54.4142319325969,-0.5425483074754203,4.527457047369121,0.8571896175408433,1.188968980577648,4.00692383438031,21.71465343542358,7.0969259251830525,9.836916543769972,1672166.4,0.7827349000673618,0.0689835878197585,18731000.0,-459527.6,-2.2929328140984806,-1.2271808917674432,3.886830598153579,-3.590949708287783,7.345647795755425e-07,1.1706052479806566e-06,0,2.96679433196272
2017-05-17,464.6007995605469,859054,-7.956318830045689,-1.3414009731430143,51.02468920660753,-1.0128384585208376,-0.1347429709444236,0.1038910553680771,-0.2773894818926787,2.388019577852,19.97423912864824,6.739496109316388,12.34436687383436,1606992.6,0.5345724678508165,0.0807105132635255,17871946.0,-394353.8,0.9614446610895832,-2.2929328140984806,-1.2271808917674432,3.264466331198612,1.561486208251186e-06,1.1353215279014203e-06,0,2.982121425412485
2017-05-18,454.8603820800781,811219,-7.088363464009262,-2.096513284024037,46.24148411736819,-1.9291240803285792,-5.886465025092013,0.0955029211631153,-2.3620238928875086,0.1061266193491343,17.37287985204498,6.775561055809474,12.103267672468633,1581017.2,0.513099414731225,0.0554030832023446,17060727.0,-582573.0,-1.3414009731430143,0.9614446610895832,-2.2929328140984806,3.886830598153579,2.584398644538697e-06,1.2494250530127436e-06,0,3.018473282721273
2017-05-19,454.3782043457031,1022479,-3.7129552853602954,-0.1060056565423406,46.01154138868089,-2.4816817207963267,-4.818177558296776,-0.2329228443161968,-2.381155418982873,-0.1403018274738645,17.165141107159503,7.1085424374117006,18.46830086519645,1548421.9,0.6603361784020234,0.0366338877660997,16038248.0,-549977.7,-2.096513284024037,-1.3414009731430143,0.9614446610895832,-1.2271808917674432,1.0367514300278112e-07,1.1818528918265254e-06,1,3.0961653808202385
2017-05-22,464.2632751464844,1725108,7.136571346082235,2.17551605826154,51.3523509162807,-2.1100258882056746,-0.4652160028180918,0.3962333905147552,-0.2781037305607765,1.851476408984262,19.61042756844285,7.083718540892107,12.151422159454114,1657372.8,1.040869018726505,0.0821287779901211,17763356.0,-313907.0,-0.1060056565423406,-2.096513284024037,-1.3414009731430143,-2.2929328140984806,1.261089774241114e-06,1.2433844962594535e-06,0,3.0007501161027834
2017-05-23,461.3218383789063,1651642,-0.2893089126743575,-0.6335708476295165,49.77445944249546,-1.9923223407075672,-2.037692750406628,-0.2190197544187921,-0.8688416728810313,1.04626231621713,18.77624965116544,7.133299466047174,12.19968300480224,1634234.8,1.010651590579273,0.0591810089569473,16111714.0,-290769.0,2.17551605826154,-0.1060056565423406,-2.096513284024037,0.9614446610895832,3.8360059118714377e-07,1.2255712661539276e-06,0,2.9930705468293684
2017-05-24,452.4975891113281,1477366,-4.870220038169407,-1.9128184563268704,45.27954163259728,-2.4108478248953764,-2.605077404228928,-2.726247577331053,-2.6192348067160345,-0.9992894728623988,16.435177522458215,7.554540241637464,18.17898997157528,1608814.3,0.9182949206754316,0.0199748218991767,14634348.0,-611662.7,-0.6335708476295165,2.17551605826154,-0.1060056565423406,-1.3414009731430143,1.2947492065790536e-06,1.2828863458905293e-06,0,3.1204418013387
2017-05-25,447.38623046875,974154,-6.943708478149858,-1.1295880388261237,42.86485997775885,-2.9010886646442997,-1.6431748962503212,-4.083535793413318,-3.5601108853161185,-2.194358936170616,15.060549317170418,8.266708896937683,10.463771060747092,1511051.0,0.6446863805391082,0.0197393242011045,13660194.0,-904256.8,-1.9128184563268704,-0.6335708476295165,2.17551605826154,-2.096513284024037,1.1595579742280212e-06,1.3084276342721569e-06,1,3.0977194202981355
2017-05-26,456.5963134765625,1594613,8.342104038675416,2.0586424839590167,48.22291680303931,-2.4900069484718594,0.4881636288108115,-1.32346313915519,-1.525114181157491,-0.228219821309902,17.356465204613674,8.37761761533732,14.51427331539611,1532185.5,1.040744087448941,0.0636723900742228,15254807.0,-606468.7,-1.1295880388261237,-1.9128184563268704,-0.6335708476295165,-0.1060056565423406,1.2909981819783335e-06,1.3571297607402552e-06,0,3.0454892844233283
2017-05-29,453.8959045410156,2314193,-1.1090566804006698,-0.5914215371091713,46.83604937101975,-2.289967839841643,-2.2330800561809805,-1.599429441518918,-2.111587389988904,-0.8542278620368313,16.581624863214415,8.35926267816376,24.25471024516054,1373869.1,1.6844348562756086,0.0096280890245548,12940614.0,-448152.3,2.0586424839590167,-1.1295880388261237,-1.9128184563268704,2.17551605826154,2.555627543204786e-07,1.2463950169285694e-06,0,3.226469857861463
2017-05-30,453.07623291015625,1496350,-0.1928922512822168,-0.1805858177302166,46.39984197299927,-2.107448968707768,-1.7873867618591888,-0.0956891306433838,-2.1326440597591803,-1.049946806822215,16.282380032852448,8.568625528977748,8.245628695872199,1392617.8,1.0744871995747864,0.0132722860300604,11444264.0,-728673.6,-0.5914215371091713,2.0586424839590167,-1.1295880388261237,-0.6335708476295165,1.2068421006463504e-07,1.1188254002762109e-06,1,3.131422222562351
2017-05-31,457.9946899414063,1366115,5.304213154457955,1.0855694194458645,49.4426247636787,-1.5744821154424558,1.2148353852832638,-2.1026612948572554,-0.9825608224937674,-0.0237858009206055,17.4597401691762,8.600673955143304,12.006821549399548,1443323.9,0.9465061861720714,0.0429417970520879,12810379.0,-506156.7,-0.1805858177302166,-0.5914215371091713,2.0586424839590167,-1.9128184563268704,7.946398505586018e-07,1.1469595288908842e-06,0,3.063780211185308
